month,year,ninety,seventyf,mean,twentyf,ten,count
3,1969,1.4,0.125,-2.2,-4.875,-6.9,31
3,1928,3.9,0.425,-1.65,-3.45,-4.45,31
3,1940,1.1,0.425,-0.25,-1.525,-1.95,31
3,2003,3.5,1.375,-2,-6.5,-14,31
3,1964,-0.25,-2.525,-6.1,-8.45,-10.85,31
3,1906,3.35,1.675,-1.65,-7.75,-13.85,31
3,1896,0.3,-1.1,-3.3,-7.35,-13.9,31
3,1974,2.25,0.425,-3.6,-7.925,-12.8,31
3,1925,-1.1,-1.675,-3.35,-5.725,-7.2,31
3,1892,3.6,2.35,-0.85,-2.925,-4.7,31
3,1958,1.65,-0.55,-3.3,-5.425,-6.4,31
3,1944,2.8,-0.725,-7.2,-10.4,-12.8,31
3,1959,0.55,-1.25,-2.5,-5.125,-7.75,31
4,1892,1.86,0.3,-2.25,-4.15,-5.42,29
4,1940,6.425,4.375,2.375,1.1125,0.295,30
4,1973,4.235,2.8,1.5,-0.9625,-2.825,30
4,1893,5.03,4.0875,-0.125,-1.6875,-2.88,30
4,1930,6.975,5.5375,3.475,0.6875,-0.635,30
4,1918,5.605,4.375,2.625,-0.125,-2.005,30
4,1995,4.025,3,1.25,-0.5,-1.775,30
4,1991,6.125,4.4375,2.5,0.75,-1.6,30
4,1954,0.904999,-1.5,-4.025,-8.2125,-10.14,30
4,1992,6.375,4.75,2.5,-0.4375,-4.125,30
4,1925,5.255,3.825,2.5,0.5625,-1.48,30
4,1943,7.825,4.2,2.65,0.9125,-0.325,30
4,1901,6.155,3.2125,-0.825,-2.2375,-3.35,30
4,1908,4.25,2.25,0.425,-1.5875,-4.18,30
4,1980,7.775,6.5,4.625,1.8125,-0.025,30
4,1919,5.195,3.05,2.225,-0.55,-1.7,30
4,1907,2.855,1.6875,-0.275,-2.2,-3.405,30
4,1988,6.55,4.5,2.25,-0.8125,-2.825,30
4,1979,7.725,7.125,5,2.375,1.775,12
4,2008,2.225,-0.0625,-2.625,-5.6875,-6.7,12
4,1966,3.39,2.25,-0.25,-3.6,-5.52,29
4,1928,4.8,2.0625,0.425,-2.2375,-5,30
4,2003,6.75,4.9375,3.375,-0.375,-3.525,30
4,1937,4.505,2.6875,1.65,0.3625,-0.575,30
4,1974,5.025,3.9,1.95,0.55,-0.58,30
4,1999,6.55,3.625,1.75,-1.6875,-3.575,30
4,1969,5.58,5.1875,3.05,1.65,0.72,30
4,1964,1.105,0.55,-1.125,-2.75,-4.705,30
4,1909,2.2,1.025,-1.525,-2.9875,-5,30
4,1932,4.155,3.6,3.05,-0.4125,-1.425,30
4,1981,6.05,2.9375,0.375,-2.5625,-5,30
4,1890,6.365,3.8875,-1.375,-5.2125,-8.88,30
4,1958,4.56,3.4625,1.1,-0.45,-1.68,30
4,2009,3.6,2,0.75,-1.25,-4.2,29
4,1955,3.73,1.3375,-1.65,-3.275,-5,30
4,1905,7.315,5.55,2.775,-0.275,-2.25,30
4,1894,5.665,3.875,0.675,-0.4875,-1.05,30
4,1990,4.775,4,2.125,0.625,-2.075,30
4,1942,4.235,1.6875,0.55,-1.1875,-3.43,30
4,2006,6,4.375,2,-0.5,-1.025,30
4,1888,5.9,4.45,3.325,-1.2625,-4.73,30
4,2007,4.15,2.6875,0.875,-1.0625,-3.375,28
4,1987,8.125,4.375,2.625,0.8125,-2.025,30
4,1994,6.325,4.25,3,1.875,-0.25,30
4,1983,6.05,4.9375,3.25,0,-2.8,30
4,1902,4.45,3.9,2.525,1.15,-0.775,30
